Sample in Buffer	Sample in Window	/U_Trivium_Comp/Doutrg<0>	/U_Trivium_Comp/Doutrg<1>	/U_Trivium_Comp/Doutrg<2>	/U_Trivium_Comp/Doutrg<3>	/U_Trivium_Comp/Doutrg<4>	/U_Trivium_Comp/Doutrg<5>	/U_Trivium_Comp/Doutrg<6>	/U_Trivium_Comp/Doutrg<7>	/U_Trivium_Comp/Doutrg<8>	/U_Trivium_Comp/Doutrg<9>	/U_Trivium_Comp/Doutrg<10>	/U_Trivium_Comp/Doutrg<11>	/U_Trivium_Comp/Doutrg<12>	/U_Trivium_Comp/Doutrg<13>	/U_Trivium_Comp/Doutrg<14>	/U_Trivium_Comp/Doutrg<15>	/U_Trivium_Comp/Doutrg<16>	/U_Trivium_Comp/Doutrg<17>	/U_Trivium_Comp/Doutrg<18>	/U_Trivium_Comp/Doutrg<19>	/U_Trivium_Comp/Doutrg<20>	/U_Trivium_Comp/Doutrg<21>	/U_Trivium_Comp/Doutrg<22>	/U_Trivium_Comp/Doutrg<23>	/U_Trivium_Comp/Doutrg<24>	/U_Trivium_Comp/Doutrg<25>	/U_Trivium_Comp/Doutrg<26>	/U_Trivium_Comp/Doutrg<27>	/U_Trivium_Comp/Doutrg<28>	/U_Trivium_Comp/Doutrg<29>	/U_Trivium_Comp/Doutrg<30>	/U_Trivium_Comp/Doutrg<31>	/U_Trivium_Comp/Doutrg<32>	/U_Trivium_Comp/Doutrg<33>	/U_Trivium_Comp/Doutrg<34>	/U_Trivium_Comp/Doutrg<35>	/U_Trivium_Comp/Doutrg<36>	/U_Trivium_Comp/Doutrg<37>	/U_Trivium_Comp/Doutrg<38>	/U_Trivium_Comp/Doutrg<39>	/U_Trivium_Comp/Doutrg<40>	/U_Trivium_Comp/Doutrg<41>	/U_Trivium_Comp/Doutrg<42>	/U_Trivium_Comp/Doutrg<43>	/U_Trivium_Comp/Doutrg<44>	/U_Trivium_Comp/Doutrg<45>	/U_Trivium_Comp/Doutrg<46>	/U_Trivium_Comp/Doutrg<47>	/U_Trivium_Comp/Doutrg<48>	/U_Trivium_Comp/Doutrg<49>	/U_Trivium_Comp/Doutrg<50>	/U_Trivium_Comp/Doutrg<51>	/U_Trivium_Comp/Doutrg<52>	/U_Trivium_Comp/Doutrg<53>	/U_Trivium_Comp/Doutrg<54>	/U_Trivium_Comp/Doutrg<55>	/U_Trivium_Comp/Doutrg<56>	/U_Trivium_Comp/Doutrg<57>	/U_Trivium_Comp/Doutrg<58>	/U_Trivium_Comp/Doutrg<59>	/U_Trivium_Comp/Doutrg<60>	/U_Trivium_Comp/Doutrg<61>	/U_Trivium_Comp/Doutrg<62>	/U_Trivium_Comp/Doutrg<63>	/U_Trivium_Comp/Doutrg<64>	/U_Trivium_Comp/Doutrg<65>	/U_Trivium_Comp/Doutrg<66>	/U_Trivium_Comp/Doutrg<67>	/U_Trivium_Comp/Doutrg<68>	/U_Trivium_Comp/Doutrg<69>	/U_Trivium_Comp/Doutrg<70>	/U_Trivium_Comp/Doutrg<71>	/U_Trivium_Comp/Doutrg<72>	/U_Trivium_Comp/Doutrg<73>	/U_Trivium_Comp/Doutrg<74>	/U_Trivium_Comp/Doutrg<75>	/U_Trivium_Comp/Doutrg<76>	/U_Trivium_Comp/Doutrg<77>	/U_Trivium_Comp/Doutrg<78>	/U_Trivium_Comp/Doutrg<79>	/U_Trivium_Comp/Doutrg<80>	/U_Trivium_Comp/Doutrg<81>	/U_Trivium_Comp/Doutrg<82>	/U_Trivium_Comp/Doutrg<83>	/U_Trivium_Comp/Doutrg<84>	/U_Trivium_Comp/Doutrg<85>	/U_Trivium_Comp/Doutrg<86>	/U_Trivium_Comp/Doutrg<87>	/U_Trivium_Comp/Doutrg<88>	/U_Trivium_Comp/Doutrg<89>	/U_Trivium_Comp/Doutrg<90>	/U_Trivium_Comp/Doutrg<91>	/U_Trivium_Comp/Doutrg<92>	/U_Trivium_Comp/Doutrg<93>	/U_Trivium_Comp/Doutrg<94>	/U_Trivium_Comp/Doutrg<95>	/U_Trivium_Comp/Doutrg<96>	/U_Trivium_Comp/Doutrg<97>	/U_Trivium_Comp/Doutrg<98>	/U_Trivium_Comp/Doutrg<99>	/U_Trivium_Comp/Doutrg<100>	/U_Trivium_Comp/Doutrg<101>	/U_Trivium_Comp/Doutrg<102>	/U_Trivium_Comp/Doutrg<103>	/U_Trivium_Comp/Doutrg<104>	/U_Trivium_Comp/Doutrg<105>	/U_Trivium_Comp/Doutrg<106>	/U_Trivium_Comp/Doutrg<107>	/U_Trivium_Comp/Doutrg<108>	/U_Trivium_Comp/Doutrg<109>	/U_Trivium_Comp/Doutrg<110>	/U_Trivium_Comp/Doutrg<111>	/U_Trivium_Comp/Doutrg<112>	/U_Trivium_Comp/Doutrg<113>	/U_Trivium_Comp/Doutrg<114>	/U_Trivium_Comp/Doutrg<115>	/U_Trivium_Comp/Doutrg<116>	/U_Trivium_Comp/Doutrg<117>	/U_Trivium_Comp/Doutrg<118>	/U_Trivium_Comp/Doutrg<119>	/U_Trivium_Comp/Doutrg<120>	/U_Trivium_Comp/Doutrg<121>	/U_Trivium_Comp/Doutrg<122>	/U_Trivium_Comp/Doutrg<123>	/U_Trivium_Comp/Doutrg<124>	/U_Trivium_Comp/Doutrg<125>	/U_Trivium_Comp/Doutrg<126>	/U_Trivium_Comp/Doutrg<127>	/U_Trivium_Comp/BSYrg	/U_Trivium_Comp/Drdy	/U_Trivium_Comp/Dvldrg	/U_Trivium_Comp/Krdy	/U_Trivium_Comp/Kvldrg	/U_Trivium_Comp/RSTn	/U_Trivium_Comp/EncDec	/U_Trivium_Comp/Krdy_c1	/U_Trivium_Comp/Doutrg
10	2	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	A716202235931C1780B314DCE054A95E	
11	3	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	A716202235931C1780B314DCE054A95E	
12	4	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	A716202235931C1780B314DCE054A95E	
13	5	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	A716202235931C1780B314DCE054A95E	
14	6	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	A716202235931C1780B314DCE054A95E	
15	7	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	A716202235931C1780B314DCE054A95E	
16	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	40A4BDD2E2B16CADC768B4F34ABB0D64	
17	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	40A4BDD2E2B16CADC768B4F34ABB0D64	
18	2	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	40A4BDD2E2B16CADC768B4F34ABB0D64	
19	3	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	40A4BDD2E2B16CADC768B4F34ABB0D64	
20	4	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	40A4BDD2E2B16CADC768B4F34ABB0D64	
21	5	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	40A4BDD2E2B16CADC768B4F34ABB0D64	
22	6	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	40A4BDD2E2B16CADC768B4F34ABB0D64	
23	7	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	40A4BDD2E2B16CADC768B4F34ABB0D64	
24	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	770D07855442F081A98572E1F74C8984	
25	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	770D07855442F081A98572E1F74C8984	
26	2	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	770D07855442F081A98572E1F74C8984	
